Method 1: time: 1.012331191, rttSecondDerivative: 3.3251318529411466e+06, cwndSecondDerivative: 0
Method 1: time: 1.005117022, rttSecondDerivative: 5.902938499983536e+07, cwndSecondDerivative: 0
Method 1: time: 1.006103678, rttSecondDerivative: 5.933676099997905e+07, cwndSecondDerivative: 0
Method 1: time: 1.002555193, rttSecondDerivative: 5.960845777430955e+07, cwndSecondDerivative: 0
Method 1: time: 1.003246771, rttSecondDerivative: 5.992159759412855e+07, cwndSecondDerivative: 0
Method 1: time: 1.00407654, rttSecondDerivative: 6.018156174805184e+07, cwndSecondDerivative: 0
Method 1: time: 1.002636077, rttSecondDerivative: 6.0353798840961605e+07, cwndSecondDerivative: 0
Method 1: time: 1.0029429, rttSecondDerivative: 6.05697118656358e+07, cwndSecondDerivative: 0
Method 1: time: 1.004599308, rttSecondDerivative: 6.07430259358448e+07, cwndSecondDerivative: 0
Method 1: time: 1.004385156, rttSecondDerivative: 6.097767999294227e+07, cwndSecondDerivative: 0
Method 1: time: 1.004831308, rttSecondDerivative: 6.122538391460758e+07, cwndSecondDerivative: 0
Method 1: time: 1.002938291, rttSecondDerivative: 6.145367096808249e+07, cwndSecondDerivative: 0
Method 1: time: 1.004601317, rttSecondDerivative: 6.159162098139065e+07, cwndSecondDerivative: 0
Method 1: time: 1.005964225, rttSecondDerivative: 6.206480395012937e+07, cwndSecondDerivative: 0
Method 1: time: 1.003051344, rttSecondDerivative: 6.23153735805858e+07, cwndSecondDerivative: 0
Method 1: time: 1.005838355, rttSecondDerivative: 6.245436598610218e+07, cwndSecondDerivative: 0
Method 1: time: 1.023421499, rttSecondDerivative: 6.25734946960696e+07, cwndSecondDerivative: 0
Method 1: time: 1.002739825, rttSecondDerivative: 6.268700199976336e+07, cwndSecondDerivative: 0
Method 1: time: 1.002739829, rttSecondDerivative: 6.2865205978985675e+07, cwndSecondDerivative: 0
Method 1: time: 1.006261468, rttSecondDerivative: 6.2942198987073705e+07, cwndSecondDerivative: 0
Method 1: time: 1.00239992, rttSecondDerivative: 6.3159321980954885e+07, cwndSecondDerivative: 0
Method 1: time: 1.002173324, rttSecondDerivative: 6.330891399703478e+07, cwndSecondDerivative: 0
Method 1: time: 1.006525, rttSecondDerivative: 6.355505199835176e+07, cwndSecondDerivative: 0
Method 1: time: 1.00251842, rttSecondDerivative: 6.3844860271955095e+07, cwndSecondDerivative: 0
Method 1: time: 1.004693684, rttSecondDerivative: 6.405906892331241e+07, cwndSecondDerivative: 0
Method 1: time: 1.006840884, rttSecondDerivative: 6.413980288115032e+07, cwndSecondDerivative: 0
Method 1: time: 1.003859945, rttSecondDerivative: 6.433668584906975e+07, cwndSecondDerivative: 0
Method 1: time: 1.005281942, rttSecondDerivative: 6.4537388872263454e+07, cwndSecondDerivative: 0
Method 1: time: 1.002249806, rttSecondDerivative: 6.485844656085409e+07, cwndSecondDerivative: 0
Method 1: time: 1.003986946, rttSecondDerivative: 6.495841596137568e+07, cwndSecondDerivative: 0
Method 1: time: 1.005534795, rttSecondDerivative: 6.509990298901385e+07, cwndSecondDerivative: 0
Method 1: time: 1.007453176, rttSecondDerivative: 6.529985299501028e+07, cwndSecondDerivative: 0
Method 1: time: 1.004901312, rttSecondDerivative: 6.572978871975941e+07, cwndSecondDerivative: 0
Method 1: time: 1.002325691, rttSecondDerivative: 6.585598493632003e+07, cwndSecondDerivative: 0
Method 1: time: 1.004411234, rttSecondDerivative: 6.6019940992998324e+07, cwndSecondDerivative: 0
Method 1: time: 1.003110111, rttSecondDerivative: 6.62227569876478e+07, cwndSecondDerivative: 0
Method 1: time: 1.004004356, rttSecondDerivative: 6.6413300412471026e+07, cwndSecondDerivative: 0
Method 1: time: 1.004076867, rttSecondDerivative: 6.6657985932164945e+07, cwndSecondDerivative: 0
Method 1: time: 1.003883773, rttSecondDerivative: 6.6774985996315256e+07, cwndSecondDerivative: 0
Method 1: time: 1.004859766, rttSecondDerivative: 6.706496554815019e+07, cwndSecondDerivative: 0
Method 1: time: 1.00437355, rttSecondDerivative: 6.744628565011477e+07, cwndSecondDerivative: 0
Method 1: time: 1.00494919, rttSecondDerivative: 6.761084793309326e+07, cwndSecondDerivative: 0
Method 1: time: 1.00779564, rttSecondDerivative: 6.784682482852966e+07, cwndSecondDerivative: 0
Method 1: time: 1.003268513, rttSecondDerivative: 6.798654197689264e+07, cwndSecondDerivative: 0
Method 1: time: 1.00661399, rttSecondDerivative: 6.814323394971323e+07, cwndSecondDerivative: 0
Method 1: time: 1.004000768, rttSecondDerivative: 6.858128071674144e+07, cwndSecondDerivative: 0
Method 1: time: 1.002727645, rttSecondDerivative: 6.875452490659575e+07, cwndSecondDerivative: 0
Method 1: time: 1.002820758, rttSecondDerivative: 6.891599295456566e+07, cwndSecondDerivative: 0
Method 1: time: 1.005336423, rttSecondDerivative: 6.933939897199345e+07, cwndSecondDerivative: 0
Method 1: time: 1.005011122, rttSecondDerivative: 6.94972069820726e+07, cwndSecondDerivative: 0
Method 1: time: 1.002477977, rttSecondDerivative: 6.9695004e+07, cwndSecondDerivative: 0
Method 1: time: 1.004817496, rttSecondDerivative: 6.990242698202291e+07, cwndSecondDerivative: 0
Method 1: time: 1.0035374, rttSecondDerivative: 7.006471018691748e+07, cwndSecondDerivative: 0
Method 1: time: 1.003043746, rttSecondDerivative: 7.029902899909265e+07, cwndSecondDerivative: 0
Method 1: time: 1.004916568, rttSecondDerivative: 7.049698819211468e+07, cwndSecondDerivative: 0
Method 1: time: 1.003859068, rttSecondDerivative: 7.070433892049167e+07, cwndSecondDerivative: 0
Method 1: time: 1.005087893, rttSecondDerivative: 7.098382373174705e+07, cwndSecondDerivative: 0
Method 1: time: 1.007987699, rttSecondDerivative: 7.11915258826038e+07, cwndSecondDerivative: 0
Method 1: time: 1.021894723, rttSecondDerivative: 7.133830583963357e+07, cwndSecondDerivative: 0
Method 1: time: 1.002821604, rttSecondDerivative: 7.150651597182013e+07, cwndSecondDerivative: 0
Method 1: time: 1.004692718, rttSecondDerivative: 7.190757782499543e+07, cwndSecondDerivative: 0
Method 1: time: 1.006307431, rttSecondDerivative: 7.210597099965608e+07, cwndSecondDerivative: 0
Method 1: time: 1.003817401, rttSecondDerivative: 7.223731343704258e+07, cwndSecondDerivative: 0
Method 1: time: 1.002553778, rttSecondDerivative: 7.247858909078899e+07, cwndSecondDerivative: 0
Method 1: time: 1.004080243, rttSecondDerivative: 7.262310697928791e+07, cwndSecondDerivative: 0
Method 1: time: 1.003059459, rttSecondDerivative: 7.283853683089863e+07, cwndSecondDerivative: 0
Method 1: time: 1.00428291, rttSecondDerivative: 7.301777086606963e+07, cwndSecondDerivative: 0
Method 1: time: 1.004240169, rttSecondDerivative: 7.3247210951999e+07, cwndSecondDerivative: 0
Method 1: time: 1.004271562, rttSecondDerivative: 7.356681584043233e+07, cwndSecondDerivative: 0
Method 1: time: 1.003909713, rttSecondDerivative: 7.371910999595368e+07, cwndSecondDerivative: 0
Method 1: time: 1.004238078, rttSecondDerivative: 7.410220688140322e+07, cwndSecondDerivative: 0
Method 1: time: 1.002789617, rttSecondDerivative: 7.435988698163e+07, cwndSecondDerivative: 0
Method 1: time: 12.508404136, rttSecondDerivative: 7.447254342790468e+07, cwndSecondDerivative: 0
Method 1: time: 1.9482933949999999, rttSecondDerivative: 7.462308408418687e+07, cwndSecondDerivative: 0
Method 1: time: 1.973648284, rttSecondDerivative: 7.462308408411187e+07, cwndSecondDerivative: 0
